Kraj,Prumerny_Vek,Nazev
CZ0200000000,41.6,Středočeský Kraj
CZ0100000000,41.4,Hlavní město Praha
CZ0310000000,43.2,Jihočeský Kraj
CZ0320000000,43.0,Plzeňský Kraj
CZ0410000000,43.6,Karlovarský Kraj
CZ0420000000,42.7,Ústecký Kraj
CZ0510000000,42.7,Liberecký Kraj
CZ0520000000,43.6,Královehradecký Kraj
CZ0530000000,42.9,Pardubický Kraj
CZ0630000000,43.4,Kraj Vysočina
CZ0640000000,42.4,Jihomoravský Kraj
CZ0710000000,43.3,Olomoucký Kraj
CZ0800000000,43.3,Moravskoslezský Kraj
CZ0720000000,43.8,Zlínský Kraj
